run,sid,block,condition,m,N,k,delta,rotation,target_label,n_draws,mean_logodds,sd_logodds,b_pos,q_t,b_star,correct,denominator,s,abs_err_nats,is_flip,n_clipped
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k0|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,0,0,0,SIGMA,10,-6.906755,0.0,0.0,-3.649186,-3.649186,-3.649186,-3.649186,1.892684,3.257569,False,10
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k0|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,0,0,1,THETA,10,2.673875,2.903436,0.0,-3.649186,-3.649186,-3.649186,-3.649186,-0.732732,6.323061,False,2
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k2|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,2,0,0,SIGMA,10,-3.544415,0.627048,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,1.534515,1.517089,True,0
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k2|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,2,0,1,THETA,10,3.308969,0.725999,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,-0.880132,5.336294,True,0
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k4|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,4,0,0,SIGMA,10,3.150828,0.89634,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,-0.75418,3.556293,True,0
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k4|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,4,0,1,THETA,10,3.693323,0.03822,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,-1.021771,4.098788,True,0
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k6|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,6,0,0,SIGMA,10,4.654845,0.959515,2.432791,1.216395,1.216395,1.216395,-1.216395,-1.826753,3.438449,False,0
anchor-control,CTRL-FULL-EXPLICIT|m2|N9|k6|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,6,0,1,THETA,10,6.906755,0.0,2.432791,1.216395,1.216395,1.216395,-1.216395,-3.678051,5.690359,False,10
anchor,B1-CORE|m2|N9|k0|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,0,3/10,0,SIGMA,10,-1.479313,0.665459,0.0,-1.946008,-3.649186,-1.946008,-1.946008,0.760178,0.466695,False,0
anchor,B1-CORE|m2|N9|k0|rot1|FULL,B1-CORE,FULL,2,9,0,0,1,THETA,10,4.450122,2.155349,0.0,-3.649186,-3.649186,-3.649186,-3.649186,-1.219483,8.099308,False,4
anchor,B1-CORE|m2|N9|k0|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,0,0,1,THETA,10,0.0,0.0,0.0,-3.649186,-3.649186,0.0,-3.649186,-0.0,0.0,False,0
anchor,B1-CORE|m2|N9|k0|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,0,0,1,THETA,10,0.445689,0.970069,0.0,-3.649186,-3.649186,-3.649186,-3.649186,-0.122134,4.094875,False,0
anchor,B1-CORE|m2|N9|k0|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,0,3/10,1,THETA,10,1.611534,0.566235,0.0,-1.946008,-3.649186,-1.946008,-1.946008,-0.828123,3.557542,False,0
anchor,B1-CORE|m2|N9|k2|rot0|FULL,B1-CORE,FULL,2,9,2,0,0,SIGMA,10,-3.399782,0.367157,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,1.483556,1.372456,True,0
anchor,B1-CORE|m2|N9|k2|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,2,0,0,SIGMA,10,0.809486,0.0,0.81093,-2.027326,-2.027326,0.81093,-2.838256,0.000509,0.001444,True,0
anchor,B1-CORE|m2|N9|k2|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,2,0,0,SIGMA,10,0.809486,0.0,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.000509,2.836812,True,0
anchor,B1-CORE|m2|N9|k2|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,2,3/10,0,SIGMA,10,1.010389,0.190877,0.81093,-0.702632,-2.027326,-0.702632,-1.513562,-0.131781,1.713021,True,0
anchor,B1-CORE|m2|N9|k2|rot1|FULL,B1-CORE,FULL,2,9,2,0,1,THETA,10,2.095507,0.544652,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,-0.452594,4.122833,True,0
anchor,B1-CORE|m2|N9|k2|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,2,0,1,THETA,10,1.44607,0.04655,0.81093,-2.027326,-2.027326,0.81093,-2.838256,-0.223778,0.63514,True,0
anchor,B1-CORE|m2|N9|k2|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,2,0,1,THETA,10,2.142863,0.0,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,-0.469279,4.170189,True,0
anchor,B1-CORE|m2|N9|k2|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,2,3/10,1,THETA,10,1.136302,0.0,0.81093,-0.702632,-2.027326,-0.702632,-1.513562,-0.214971,1.838933,True,0
anchor,B1-CORE|m2|N9|k4|rot0|FULL,B1-CORE,FULL,2,9,4,0,0,SIGMA,10,2.858203,0.045383,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,-0.609839,3.263668,True,0
anchor,B1-CORE|m2|N9|k4|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,4,0,0,SIGMA,10,3.32304,0.372428,1.62186,-0.405465,-0.405465,1.62186,-2.027326,-0.839125,1.701179,True,0
anchor,B1-CORE|m2|N9|k4|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,4,0,0,SIGMA,10,1.476443,0.243759,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.071729,1.881908,True,0
anchor,B1-CORE|m2|N9|k4|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,4,3/10,0,SIGMA,10,1.643422,0.0,1.62186,0.540745,-0.405465,0.540745,-1.081116,-0.019944,1.102677,False,0
anchor,B1-CORE|m2|N9|k4|rot1|FULL,B1-CORE,FULL,2,9,4,0,1,THETA,10,3.62554,0.072288,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,-0.988336,4.031005,True,0
anchor,B1-CORE|m2|N9|k4|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,4,0,1,THETA,10,2.436186,0.269927,1.62186,-0.405465,-0.405465,1.62186,-2.027326,-0.401675,0.814326,True,0
anchor,B1-CORE|m2|N9|k4|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,4,0,1,THETA,10,2.328972,0.069115,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,-0.34879,2.734437,True,0
anchor,B1-CORE|m2|N9|k4|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,4,3/10,1,THETA,10,1.96423,0.072512,1.62186,0.540745,-0.405465,0.540745,-1.081116,-0.316682,1.423485,False,0
anchor,B1-CORE|m2|N9|k6|rot0|FULL,B1-CORE,FULL,2,9,6,0,0,SIGMA,10,3.059113,0.720821,2.432791,1.216395,1.216395,1.216395,-1.216395,-0.514901,1.842718,False,0
anchor,B1-CORE|m2|N9|k6|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,6,0,0,SIGMA,10,4.057396,0.0,2.432791,1.216395,1.216395,2.432791,-1.216395,-1.33559,1.624605,False,0
anchor,B1-CORE|m2|N9|k6|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,6,0,0,SIGMA,10,4.057396,0.0,2.432791,1.216395,1.216395,1.216395,-1.216395,-1.33559,2.841,False,0
anchor,B1-CORE|m2|N9|k6|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,6,3/10,0,SIGMA,10,2.696484,0.359635,2.432791,1.784121,1.216395,1.784121,-0.648669,-0.406514,0.912363,False,0
