run,condition,n_cells,mean_s,sd_s,mean_abs_err_nats,max_abs_err_nats
anchor-control,FULL-EXPLICIT,8,-0.683303,1.772455,4.152238,6.323061
anchor,FULL,8,-0.40701,1.505709,3.833654,8.099308
anchor,PARTIAL-BLIND,8,-0.809714,1.252558,1.156332,4.473964
anchor,PARTIAL-RULED-d0,8,-0.36622,0.505203,3.004673,4.170189
anchor,PARTIAL-RULED-d3,8,-0.212529,0.466907,1.501902,3.557542
deepseek-control,FULL-EXPLICIT,8,0.346553,0.512508,1.417754,2.638012
deepseek-high,FULL,8,0.929944,0.287612,0.275295,1.410472
deepseek-high,PARTIAL-BLIND,8,0.132212,0.191893,0.225706,0.678411
deepseek-high,PARTIAL-RULED-d0,8,0.697069,0.418241,0.9257,2.933187
deepseek-high,PARTIAL-RULED-d3,8,0.68975,0.379184,0.543039,1.377444
deepseek,FULL,8,0.626386,0.278159,0.882853,2.328075
deepseek,PARTIAL-BLIND,8,0.14935,0.697191,0.554728,1.906073
deepseek,PARTIAL-RULED-d0,8,0.244842,0.374973,2.031221,3.649186
deepseek,PARTIAL-RULED-d3,8,0.515866,0.716176,1.109061,1.946008
glm-control,FULL-EXPLICIT,8,0.533168,1.088266,1.536175,3.491787
glm,FULL,8,0.504342,1.057858,1.40438,3.107743
glm,PARTIAL-BLIND,8,-0.421995,0.540207,0.628975,1.716409
glm,PARTIAL-RULED-d0,8,-0.221814,0.785094,2.331773,3.624777
glm,PARTIAL-RULED-d3,8,-0.872857,1.076274,1.961682,2.389022
hy3-none-control,FULL-EXPLICIT,8,0.429251,0.372591,1.234321,2.909185
hy3-none,FULL,8,0.405689,0.337013,1.642884,2.983901
hy3-none,PARTIAL-BLIND,8,0.182361,0.226836,0.302657,0.812374
hy3-none,PARTIAL-RULED-d0,8,0.403048,0.489928,1.920318,3.649186
hy3-none,PARTIAL-RULED-d3,8,1.015452,1.270767,1.165706,1.946008
sol-high,FULL,8,1.018413,0.047105,0.025299,0.164129
sol-high,PARTIAL-BLIND,8,0.000986,0.001411,0.001443,0.003954
sol-high,PARTIAL-RULED-d0,8,1.001796,0.001527,0.005086,0.014376
sol-high,PARTIAL-RULED-d3,8,1.000785,0.001145,0.000714,0.001664
sol-none-control,FULL-EXPLICIT,8,1.120691,0.350973,0.55941,2.44356
sol-none,FULL,8,1.12188,0.28741,0.312516,0.81093
sol-none,PARTIAL-BLIND,8,0.000986,0.001411,0.001443,0.003954
sol-none,PARTIAL-RULED-d0,8,0.144801,0.356334,2.097476,4.241826
sol-none,PARTIAL-RULED-d3,8,0.500712,0.598377,0.850214,1.593318
