run,condition,n_cells,mean_s,sd_s,mean_abs_err_nats,max_abs_err_nats
anchor,FULL,8,-0.40701,1.505709,3.833654,8.099308
anchor,PARTIAL-BLIND,8,-0.809714,1.252558,1.156332,4.473964
anchor,PARTIAL-RULED-d0,8,-0.36622,0.505203,3.004673,4.170189
anchor,PARTIAL-RULED-d3,8,-0.212529,0.466907,1.501902,3.557542
sol-high,FULL,8,1.018413,0.047105,0.025299,0.164129
sol-high,PARTIAL-BLIND,8,0.000986,0.001411,0.001443,0.003954
sol-high,PARTIAL-RULED-d0,8,1.001796,0.001527,0.005086,0.014376
sol-high,PARTIAL-RULED-d3,8,1.000785,0.001145,0.000714,0.001664
sol-none,FULL,8,1.12188,0.28741,0.312516,0.81093
sol-none,PARTIAL-BLIND,8,0.000986,0.001411,0.001443,0.003954
sol-none,PARTIAL-RULED-d0,8,0.144801,0.356334,2.097476,4.241826
sol-none,PARTIAL-RULED-d3,8,0.500712,0.598377,0.850214,1.593318
